,Количество комнат,Площадь,Этаж,Адрес,Цена в usd,Цена в kgs
436,2.0,72.0,2.0,"Бишкек,ВерхнийДжалм-н,Тыналиева",95000.0,8162400.0
437,2.0,72.0,2.0,"Бишкек,АкКеме",95000.0,8162400.0
438,2.0,46.0,5.0,"Бишкек,Советская-Скрябина",64000.0,5498880.0
439,4.0,145.0,5.0,"Бишкек,Магистраль,просп.Айтматова/ул.Масалиева",220000.0,18902400.0
440,2.0,72.0,2.0,"Бишкек,Магистраль,А.Токомбаева/А.Куттубаева",95000.0,8162400.0
441,2.0,72.0,2.0,"Бишкек,ПаркАтатюрк,Токтоналиева86",95000.0,8162400.0
442,2.0,46.0,5.0,"Бишкек,СкверТоголокМолдо,Чуйкова/Коёнкозова",64000.0,5498880.0
443,4.0,145.0,5.0,"Бишкек,Филармония,Исанова/Абдымомунова",220000.0,18902400.0
444,3.0,100.0,8.0,"Бишкек,8м-н",150000.0,12888000.0
445,2.0,98.0,6.0,"Бишкек,АЮGrand,ул.Анкар1/19",98600.0,8471712.0
446,4.0,158.0,8.0,"Бишкек,Магистраль,просп.Айтматова/ул.Масалиева",237000.0,20363040.0
447,2.0,65.53,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",79000.0,6787680.0
448,2.0,66.0,3.0,"Бишкек,НижнийТокольдош,ул.Кийизбаева/Передовая(мкрн.""Восток-5"")",83000.0,7131360.0
449,2.0,80.0,5.0,"Бишкек,Магистраль,Малдыбаева279",135000.0,11599200.0
450,2.0,56.26,11.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",50634.0,4350473.0
451,2.0,100.0,11.0,"Бишкек,НижнийТокольдош,ул.Кийизбаева/Передовая(мкрн.""Восток-5"")",119000.0,10224480.0
452,1.0,42.0,1.0,"Бишкек,Магистраль,Малдыбаева279",60000.0,5155200.0
453,3.0,102.57,12.0,"Бишкек,ЦУМ,Чуй/ЮсупаАбдрахманова",92313.0,7931533.0
454,3.0,125.0,11.0,"Бишкек,Магистраль,Сухэ-Батора/Токомбаева",205000.0,17613600.0
455,1.0,50.0,12.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",62500.0,5370000.0
456,2.0,80.0,6.0,"Бишкек,5м-н,Каралаева38/1",90900.0,7810128.0
457,1.0,35.0,2.0,"Бишкек,КараДарыя,Ахунбаева(Бот.Сад)",61000.0,5241120.0
458,1.0,33.0,5.0,"Бишкек,Магистраль,СухэБатора/Токомбаева",59400.0,5103648.0
459,3.0,58.0,5.0,"Ошскаяобласть,Ош,Амир-Тимура,9",82000.0,7045440.0
460,2.0,56.26,11.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",50634.0,4350473.0
461,2.0,100.0,11.0,"Бишкек,Магистраль,Асанбай",119000.0,10224480.0
462,1.0,42.0,1.0,"Бишкек,СреднийДжалм-н",60000.0,5155200.0
463,3.0,102.57,12.0,"Бишкек,АЮGrand,Анкара28",92313.0,7931533.0
464,3.0,125.0,11.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",205000.0,17613600.0
465,1.0,50.0,12.0,"Бишкек,VEFA,Кулатова14/Элебаева",62500.0,5370000.0
466,2.0,80.0,6.0,"Бишкек,АкКеме,Джунусалиева/АжыбекБаатыра",90900.0,7810128.0
467,1.0,35.0,2.0,"Бишкек,5м-н",61000.0,5241120.0
468,1.0,33.0,5.0,"Бишкек,с.Кок-Джар,с.Кок-Жар,ул.КонурОсмона",59400.0,5103648.0
469,3.0,58.0,5.0,"Бишкек,VEFA,БайтикБаатыра/Горького",82000.0,7045440.0
470,2.0,68.0,3.0,"Бишкек,АкКеме,Джунусалиева/АжыбекБаатыра",101257.0,8700000.0
471,1.0,45.4,14.0,"Бишкек,АЮGrand,ул.Анкар1/19",55000.0,4725600.0
472,1.0,41.0,14.0,"Бишкек,Киргизия-2м-н,Самойленко3/1,3/2/Ч.Айтматова",42500.0,3651600.0
473,2.0,58.0,7.0,"Бишкек,VEFA,Кулатова/Элебаева",82000.0,7045440.0
474,1.0,44.0,7.0,"Бишкек,Восточныйавтовокзал",66000.0,5670720.0
475,3.0,115.0,12.0,"Бишкек,7м-н,Сухэ-Батора/А.Токомбаева",98000.0,8420160.0
476,2.0,46.0,1.0,"Бишкек,5м-н,5микрорайон",59000.0,5069280.0
477,1.0,45.39,14.0,"Бишкек,Чуй-Алматинка,КурманжанДатка/Салиева",53500.0,4596720.0
478,1.0,48.0,16.0,"Бишкек,Магистраль,Малдыбаева279",36000.0,3093120.0
479,3.0,99.6,3.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",135000.0,11599200.0
480,3.0,93.0,7.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",159000.0,13661280.0
481,4.0,81.8,4.0,"Бишкек,АУЦА,напротивмкрн.Асанбай",119990.0,10309541.0
482,3.0,121.0,5.0,"Бишкек,АкКеме,Джунусалиева/АжыбекБаатыра",172000.0,14778240.0
483,4.0,145.0,3.0,"Бишкек,Дворецспорта,Жумабека-Коенкозова",205000.0,17613600.0
484,2.0,70.0,6.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",119000.0,10224480.0
485,3.0,152.0,13.0,"Бишкек,Магистраль,пр.Ч.Айтматова/Магистраль",220000.0,18902400.0
486,1.0,43.0,11.0,"Бишкек,Магистраль,Сухэ-Батора/Токомбаева",68000.0,5842560.0
487,3.0,120.0,1.0,"Бишкек,ЧоканаВалиханова-Исакеева,ул.Исакеева/Виноградная",138000.0,11856960.0
488,3.0,132.0,13.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",165000.0,14176800.0
489,4.0,120.0,8.0,"Бишкек,Магистраль,пр.Ч.Айтматова",245000.0,21050400.0
490,2.0,78.0,15.0,"Бишкек,Горького-Алма-Атинская,Горького-7-апреля",113100.0,9717552.0
491,2.0,103.0,8.0,"Ошскаяобласть,Ош,Ош.ул.Абдыкадырова207/21",108150.0,9292248.0
492,4.0,164.0,4.0,"Бишкек,Магистраль,Сухэ-Батора/Токомбаева",320000.0,27494400.0
493,4.0,164.0,4.0,"Бишкек,Магистраль,АалыТокомбаева/Дуйшеева",320000.0,27494400.0
494,3.0,122.0,4.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",131760.0,11320819.0
495,2.0,80.0,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",127000.0,10911840.0
496,3.0,87.0,2.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",140000.0,12028800.0
497,2.0,49.0,3.0,"Иссык-Кульскаяобласть,с.Кош-Коль,с.Кош-кол",79000.0,6787680.0
498,2.0,44.0,8.0,"Бишкек,МолодаяГвардия",77000.0,6615840.0
499,4.0,157.0,10.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",164693.0,14150423.0
500,2.0,65.0,12.0,"Бишкек,Золотойквадрат",72000.0,6186240.0
501,3.0,144.0,8.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",115200.0,9897984.0
502,2.0,78.0,8.0,"Бишкек,Гагарина,ТимураФрунзе/Гагарина",111000.0,9537120.0
503,2.0,103.0,10.0,"Бишкек,Центральнаямечеть,Московская56-3/Гоголя",113300.0,9734736.0
504,2.0,68.0,13.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",74120.0,6368390.0
505,3.0,126.0,9.0,"Бишкек,Джальскаябольница,Айни95/Леваневского",207900.0,17862768.0
506,1.0,45.0,15.0,Сокулук,50500.0,4338960.0
507,1.0,47.0,8.0,"Бишкек,Джал-29м-н,Садырбаевастр.258",61500.0,5284080.0
508,3.0,152.0,3.0,"Бишкек,Аламедин-1м-н",243200.0,20895744.0
509,2.0,57.0,9.0,"Бишкек,Боталиева-Тулебердиева,МанасаВасильева/Васильева",117000.0,10052640.0
511,2.0,78.0,1.0,"Бишкек,ЖДвокзал",140000.0,12028800.0
512,4.0,181.0,9.0,"Бишкек,АЮGrand,Исакеева2",217200.0,18661824.0
513,2.0,103.0,8.0,"Бишкек,Магистраль,пр-тЧ.Айтматова/А.Масалиева",103000.0,8849760.0
514,3.0,107.0,8.0,"Бишкек,Старыйаэропорт,АжыбекБаатырастр.2/1-2",112350.0,9653112.0
