,Количество комнат,Площадь,Этаж,Адрес,Цена в usd,Цена в kgs
631,2.0,72.0,2.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",95000.0,8162400.0
632,2.0,46.0,5.0,"Бишкек,КНУ",64000.0,5498880.0
633,4.0,145.0,5.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",220000.0,18902400.0
634,3.0,100.0,8.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",150000.0,12888000.0
635,2.0,98.0,6.0,"Бишкек,6м-н,Сухэ-Батора-Юнусалиева",98600.0,8471712.0
636,4.0,158.0,8.0,"Бишкек,Горького-Алма-Атинская,Горького",237000.0,20363040.0
637,2.0,65.53,5.0,"Бишкек,Юг-2м-н",79000.0,6787680.0
638,2.0,66.0,3.0,"Бишкек,АкадемияНаук,Тимирязева97",83000.0,7131360.0
639,2.0,80.0,5.0,"Бишкек,АкКеме",135000.0,11599200.0
640,3.0,90.0,8.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",118000.0,10138560.0
641,4.0,140.0,10.0,"Бишкек,7м-н,Юнусалиева173/2",250000.0,21480000.0
642,3.0,115.0,10.0,"Бишкек,ВерхнийДжалм-н",85100.0,7311792.0
643,2.0,86.0,10.0,"Бишкек,ПаркАтатюрк",102000.0,8763840.0
644,3.0,124.0,8.0,"Бишкек,Восток-5м-н,Мамбетова",189000.0,16238880.0
645,1.0,52.0,13.0,"Бишкек,9м-н",39000.0,3350880.0
646,3.0,108.0,10.0,"Бишкек,Магистраль,Токомбаева/СухэБатора",150000.0,12888000.0
647,4.0,110.0,11.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",121000.0,10396320.0
648,3.0,84.0,3.0,"Бишкек,Магистраль,Токомбаева,запарком""Асанбай""",94500.0,8119440.0
649,1.0,47.5,7.0,"Бишкек,КНУ,фрунзе/турусбекова",72000.0,6186240.0
650,4.0,123.0,7.0,"Бишкек,Магистраль,ул.А.Малдыбаева277(пер.ул.А.Масалиева)",280000.0,24057600.0
651,4.0,122.0,11.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",185000.0,15895200.0
652,3.0,91.0,4.0,"Бишкек,Магистраль,Токомбаева-Сухэ-батора",119500.0,10267440.0
653,2.0,67.0,3.0,"Бишкек,Госрегистр,пр.ЧингизаАйтматова4",74800.0,6426816.0
654,3.0,80.0,8.0,"Бишкек,Магистраль",88000.0,7560960.0
655,1.0,45.0,9.0,"Бишкек,Советская-Скрябина",42500.0,3651600.0
656,1.0,48.0,2.0,"Шопоков,новостройки/первомайская",77500.0,6658800.0
657,1.0,48.0,3.0,"Иссык-Кульскаяобласть,Чолпон-Ата",77500.0,6658800.0
658,1.0,18.0,4.0,"Бишкек,Политех,Целинная21",24800.0,2130816.0
659,4.0,126.0,2.0,"Бишкек,10м-н",150000.0,12888000.0
660,2.0,56.26,11.0,"Бишкек,МолодаяГвардия",50634.0,4350473.0
661,2.0,100.0,11.0,"Бишкек,Московская-Уметалиева,Московская/Манаса",119000.0,10224480.0
662,1.0,42.0,1.0,"Бишкек,Магистраль,БайтикБаатыра/Токомбаева",60000.0,5155200.0
663,3.0,102.57,12.0,"Бишкек,Магистраль,Сухэ-Батора/Токомбаева",92313.0,7931533.0
664,3.0,125.0,11.0,"Бишкек,Магистраль,пр.Мира/Южнаямагистраль",205000.0,17613600.0
665,1.0,50.0,12.0,"Бишкек,Киргизия-2м-н,Самойленко3/1,3/2/Ч.Айтматова",62500.0,5370000.0
666,2.0,80.0,6.0,"Бишкек,МахатмаГанди-БЧК,МолодаяГвардия/Ленинградская",90900.0,7810128.0
667,1.0,35.0,2.0,"Бишкек,СреднийДжалм-н",61000.0,5241120.0
668,1.0,33.0,5.0,"Бишкек,Магистраль",59400.0,5103648.0
669,3.0,58.0,5.0,"Бишкек,Магистраль,Сухэ-Батора/Токомбаева",82000.0,7045440.0
670,2.0,56.26,11.0,"Бишкек,Магистраль,Магистраль/СухэБатора",50634.0,4350473.0
671,2.0,100.0,11.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",119000.0,10224480.0
672,1.0,42.0,1.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",60000.0,5155200.0
673,3.0,102.57,12.0,"Бишкек,Магистраль,Б.Баатыра/А.Токомбаева",92313.0,7931533.0
674,3.0,125.0,11.0,"Бишкек,Политех,г.Бишкек,ул.Целинная21(районПолитех)",205000.0,17613600.0
675,1.0,50.0,12.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",62500.0,5370000.0
676,2.0,80.0,6.0,"Бишкек,5м-н,мкрн5",90900.0,7810128.0
677,1.0,35.0,2.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",61000.0,5241120.0
678,1.0,33.0,5.0,"Бишкек,Старыйаэропорт,АжыбекБаатыра/ШотаРуставели",59400.0,5103648.0
679,3.0,58.0,5.0,"Бишкек,ЦУМ",82000.0,7045440.0
680,2.0,68.0,3.0,"Бишкек,МолодаяГвардия,ЖоомартаБоконбаева233/КалыкаАкиева",101257.0,8700000.0
681,1.0,45.4,14.0,"Бишкек,Магистраль,просп.Айтматова/ул.Масалиева",55000.0,4725600.0
682,1.0,41.0,14.0,"Бишкек,Магистраль,просп.ЧингизаАйтматова82/2/Масалиева",42500.0,3651600.0
683,2.0,58.0,7.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",82000.0,7045440.0
684,1.0,44.0,7.0,"Бишкек,Магистраль,пр.Мира/Южнаямагистраль",66000.0,5670720.0
685,3.0,115.0,12.0,"Бишкек,Политех,АжибекБаатыр/Ахунбаева",98000.0,8420160.0
686,2.0,46.0,1.0,"Бишкек,ЖилгородокНицца,напротивмкрн.Асанбай",59000.0,5069280.0
687,1.0,45.39,14.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",53500.0,4596720.0
688,1.0,48.0,16.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",36000.0,3093120.0
689,3.0,99.6,3.0,"Бишкек,12м-н,12мкр,ул.А.Токомбаева/СаякбайКаралаев",135000.0,11599200.0
690,3.0,93.0,7.0,"Бишкек,АУЦА",159000.0,13661280.0
691,4.0,81.8,4.0,"Бишкек,Тунгучм-н,анкара/чокмора",119990.0,10309541.0
692,3.0,121.0,5.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",172000.0,14778240.0
693,4.0,145.0,3.0,"Бишкек,Магистраль",205000.0,17613600.0
694,2.0,70.0,6.0,"Бишкек,Магистраль,Ч.Айтматова/Масалиева",119000.0,10224480.0
695,3.0,152.0,13.0,"Бишкек,Горького-Алма-Атинская,Горького-7-апреля",220000.0,18902400.0
696,1.0,43.0,11.0,"Бишкек,АкКеме,Минжилкиева117",68000.0,5842560.0
697,3.0,120.0,1.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",138000.0,11856960.0
698,3.0,132.0,13.0,"Бишкек,Магистраль,ул.Куттубаева,15",165000.0,14176800.0
699,4.0,120.0,8.0,"Бишкек,ТЭЦ",245000.0,21050400.0
700,2.0,78.0,15.0,"Бишкек,ВерхнийДжалм-н,Тыналиева",113100.0,9717552.0
701,2.0,103.0,8.0,"Бишкек,9м-н",108150.0,9292248.0
702,4.0,164.0,4.0,"Бишкек,5м-н",320000.0,27494400.0
703,4.0,164.0,4.0,"Бишкек,Кок-Жарж/м",320000.0,27494400.0
704,3.0,122.0,4.0,"Бишкек,Военторг,Токтогула/ТоголокМолдо",131760.0,11320819.0
705,2.0,80.0,5.0,"Бишкек,КНУ,жибекжолу/турусбекова",127000.0,10911840.0
706,3.0,87.0,2.0,"Бишкек,Кок-Жарж/м",140000.0,12028800.0
707,2.0,49.0,3.0,"Бишкек,Военторг,Исанова45",79000.0,6787680.0
708,2.0,44.0,8.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",77000.0,6615840.0
709,4.0,157.0,10.0,"Бишкек,Кудайберген",164693.0,14150423.0
710,2.0,65.0,12.0,"Бишкек,Восток-5м-н",72000.0,6186240.0
711,3.0,144.0,8.0,"Бишкек,Магистраль,Магистраль/СухэБатора",115200.0,9897984.0
712,2.0,78.0,8.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",111000.0,9537120.0
713,2.0,103.0,10.0,"Бишкек,Кара-Жыгачж/м,Кара-жыгач",113300.0,9734736.0
714,2.0,68.0,13.0,"Бишкек,Золотойквадрат/Боконбаева",74120.0,6368390.0
715,3.0,126.0,9.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",207900.0,17862768.0
716,1.0,45.0,15.0,"Бишкек,Мед.академия,Абая7А",50500.0,4338960.0
717,1.0,47.0,8.0,"Бишкек,Киргизия1ж/м",61500.0,5284080.0
718,3.0,152.0,3.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",243200.0,20895744.0
719,2.0,57.0,9.0,"Бишкек,АзияМолл",117000.0,10052640.0
721,2.0,78.0,1.0,"Бишкек,Магистраль,пр.Ч.Айтматова82/2",140000.0,12028800.0
722,4.0,181.0,9.0,"Бишкек,Юбилейка",217200.0,18661824.0
723,2.0,103.0,8.0,"Бишкек,АУЦА,СухэБатора",103000.0,8849760.0
724,3.0,107.0,8.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",112350.0,9653112.0
725,2.0,68.0,6.0,"Бишкек,Кок-Жарж/м,ул.7Апреля/Молдокулова",88000.0,7560960.0
726,2.0,73.0,4.0,"Бишкек,Восток-5м-н",69000.0,5928480.0
727,2.0,50.0,5.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",62000.0,5327040.0
728,2.0,56.29,4.0,"Бишкек,Магистраль,СухэБатора/Токомбаева",69500.0,5971440.0
729,1.0,37.0,8.0,"Бишкек,Горького-Алма-Атинская,Горького-7-апреля6",53000.0,4553760.0
730,3.0,70.0,5.0,"Бишкек,Джал-23м-н(НижнийДжал)",93000.0,7990560.0
731,2.0,70.0,4.0,"Бишкек,Тунгучм-н6",93000.0,7990560.0
732,2.0,50.0,5.0,"Бишкек,Уланм-н",79000.0,6787680.0
733,3.0,105.0,10.0,"Бишкек,Золотойквадрат,Орозбекова/Чокморова",175000.0,15036000.0
734,3.0,100.0,10.0,"Бишкек,Джал15м-н,Ахунбаева/Тыналиева",127000.0,10911840.0
735,2.0,50.0,5.0,"Бишкек,Учкунж/м",69000.0,5928480.0
736,2.0,72.0,2.0,"Бишкек,Филармония",95000.0,8162400.0
737,2.0,72.0,2.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",95000.0,8162400.0
738,2.0,46.0,5.0,"Бишкек,АкЭмиррынок,Московская/Шопокова,38",64000.0,5498880.0
739,4.0,145.0,5.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)5",220000.0,18902400.0
740,2.0,72.0,2.0,"Бишкек,СкверТоголокМолдо,Чуйкова",95000.0,8162400.0
741,2.0,72.0,2.0,"Бишкек,АЮGrand,ул.Анкар1/19",95000.0,8162400.0
742,2.0,46.0,5.0,"Бишкек,5м-н",64000.0,5498880.0
743,4.0,145.0,5.0,"Бишкек,СкверТоголокМолдо,Исанова/Чуйкова",220000.0,18902400.0
744,3.0,100.0,8.0,"Бишкек,Магистраль,Магистраль/СухэБатора",150000.0,12888000.0
745,2.0,98.0,6.0,"Бишкек,АЮGrand,ул.Анкар1/19",98600.0,8471712.0
746,4.0,158.0,8.0,"Бишкек,Магистраль,Малдыбаева279",237000.0,20363040.0
747,2.0,65.53,5.0,"Бишкек,ЦУМ,Киевская/Тыныстанова",79000.0,6787680.0
748,2.0,66.0,3.0,"Бишкек,Магистраль,А.Токомбаева/А.Куттубаева",83000.0,7131360.0
749,2.0,80.0,5.0,"Бишкек,Госрегистр,Л.Толстогоипр.ЧынгызаАйтматова",135000.0,11599200.0
750,3.0,90.0,8.0,"Бишкек,Госрегистр,пр.ЧингизаАйтматова4",118000.0,10138560.0
751,4.0,140.0,10.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",250000.0,21480000.0
752,3.0,115.0,10.0,"Бишкек,Московская-Уметалиева",85100.0,7311792.0
753,2.0,86.0,10.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",102000.0,8763840.0
754,3.0,124.0,8.0,"Бишкек,Моссовет",189000.0,16238880.0
755,1.0,52.0,13.0,"Бишкек,Киргизия-2м-н",39000.0,3350880.0
756,3.0,108.0,10.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",150000.0,12888000.0
757,4.0,110.0,11.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",121000.0,10396320.0
758,3.0,84.0,3.0,"Бишкек,Тунгучм-н",94500.0,8119440.0
759,1.0,47.5,7.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",72000.0,6186240.0
760,4.0,123.0,7.0,"Бишкек,АУЦА,напротивмкрн.Асанбай",280000.0,24057600.0
761,4.0,122.0,11.0,"Бишкек,Госрегистр,Л.Толстогоипр.ЧынгызаАйтматова",185000.0,15895200.0
762,3.0,91.0,4.0,"Бишкек,Джал-29м-н,Джал-29,ул.Баха258Б",119500.0,10267440.0
763,2.0,67.0,3.0,"Бишкек,Советская-Скрябина,Абая/Ахунбаева",74800.0,6426816.0
764,3.0,80.0,8.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",88000.0,7560960.0
765,1.0,45.0,9.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",42500.0,3651600.0
766,1.0,48.0,2.0,"Бишкек,Магистраль",77500.0,6658800.0
767,1.0,48.0,3.0,"Бишкек,Юг-2м-н",77500.0,6658800.0
768,1.0,18.0,4.0,"Бишкек,ЖДвокзал,Орозбекова1",24800.0,2130816.0
769,4.0,126.0,2.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",150000.0,12888000.0
770,3.0,96.0,13.0,"Бишкек,Военторг,МанасчыСагынбая168",75000.0,6444000.0
771,2.0,79.0,12.0,"Бишкек,Советская-Скрябина,Абая/Ахунбаева",96500.0,8291280.0
772,3.0,103.0,14.0,"Бишкек,Магистраль,Токомбаева/Куттубаева",97850.0,8407272.0
773,1.0,50.0,8.0,"Бишкек,Магистраль,АалыТокомбаева",64950.0,5580504.0
774,4.0,157.0,10.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",164693.0,14150423.0
775,2.0,88.0,12.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",77440.0,6653645.0
776,1.0,51.0,12.0,"Бишкек,АЮGrand,ул.Анкар1/19",61200.0,5258304.0
777,2.0,84.0,3.0,"Бишкек,Джал15м-н",91500.0,7861680.0
778,2.0,62.0,12.0,"Бишкек,Госрегистр,Л.Толстогоипр.ЧынгызаАйтматова",56000.0,4811520.0
779,4.0,188.0,4.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",98000.0,8420160.0
780,2.0,56.26,11.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",50634.0,4350473.0
781,2.0,100.0,11.0,"Бишкек,Джал-29м-н,КыркКыз/Гагарина",119000.0,10224480.0
782,1.0,42.0,1.0,"Иссык-Кульскаяобласть,с.Сары-Ой",60000.0,5155200.0
783,3.0,102.57,12.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",92313.0,7931533.0
784,3.0,125.0,11.0,"Бишкек,12м-н",205000.0,17613600.0
785,1.0,50.0,12.0,"Бишкек,12м-н,Куттубаева/Магистраль",62500.0,5370000.0
786,2.0,80.0,6.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",90900.0,7810128.0
787,1.0,35.0,2.0,"Бишкек,Вечерка,Шопокова31/1/Боконбаева",61000.0,5241120.0
788,1.0,33.0,5.0,"Бишкек,ЦУМ,Киевская/Тыныстанова",59400.0,5103648.0
789,3.0,58.0,5.0,"Бишкек,с.Новопавловка",82000.0,7045440.0
790,2.0,56.26,11.0,"Бишкек,Киргизия1ж/м",50634.0,4350473.0
791,2.0,100.0,11.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",119000.0,10224480.0
792,1.0,42.0,1.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",60000.0,5155200.0
793,3.0,102.57,12.0,"Бишкек,Центральнаямечеть,Чуйкова20а",92313.0,7931533.0
794,3.0,125.0,11.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",205000.0,17613600.0
795,1.0,50.0,12.0,"Бишкек,5м-н",62500.0,5370000.0
796,2.0,80.0,6.0,"Бишкек,Госрегистр,пр.ЧингизаАйтматова4",90900.0,7810128.0
797,1.0,35.0,2.0,"Бишкек,Городокстроителей",61000.0,5241120.0
798,1.0,33.0,5.0,"Бишкек,Баха,Репина198б",59400.0,5103648.0
799,3.0,58.0,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",82000.0,7045440.0
800,2.0,68.0,3.0,"Бишкек,Московская-Уметалиева,Московская191/Шевченко,27/1",101257.0,8700000.0
801,1.0,45.4,14.0,"Бишкек,АУЦА,Токомбаева17/3",55000.0,4725600.0
802,1.0,41.0,14.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",42500.0,3651600.0
803,2.0,58.0,7.0,"Бишкек,БГУ,ШотаРуставели42",82000.0,7045440.0
804,1.0,44.0,7.0,"Бишкек,Джальскаябольница,Ахунбаева186",66000.0,5670720.0
805,3.0,115.0,12.0,"Бишкек,Магистраль,просп.Айтматова/ул.Масалиева",98000.0,8420160.0
806,2.0,46.0,1.0,"Бишкек,Асанбайм-н,Сухэ-Батора/Токомбаева",59000.0,5069280.0
807,1.0,45.39,14.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",53500.0,4596720.0
808,1.0,48.0,16.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",36000.0,3093120.0
809,3.0,99.6,3.0,"Бишкек,Политех",135000.0,11599200.0
810,3.0,93.0,7.0,"Бишкек,Юг-2м-н",159000.0,13661280.0
811,4.0,81.8,4.0,"с.Ленинское,Ленинское",119990.0,10309541.0
812,3.0,121.0,5.0,"Бишкек,с.Селекционное,Муромская29/Кипкалова",172000.0,14778240.0
813,4.0,145.0,3.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",205000.0,17613600.0
814,2.0,70.0,6.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",119000.0,10224480.0
815,3.0,152.0,13.0,"Иссык-Кульскаяобласть,с.Чон-Сары-Ой",220000.0,18902400.0
816,1.0,43.0,11.0,"Бишкек,Горького-Алма-Атинская,Горького-7-апреля",68000.0,5842560.0
817,3.0,120.0,1.0,"Бишкек,12м-н",138000.0,11856960.0
818,3.0,132.0,13.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",165000.0,14176800.0
819,4.0,120.0,8.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",245000.0,21050400.0
820,2.0,78.0,15.0,"Бишкек,Магистраль,просп.ЧингизаАйтматова82/2/Масалиева",113100.0,9717552.0
821,2.0,103.0,8.0,"Бишкек,Арча-Бешикж/м,ул.Баха/ЮжнаяМагистраль",108150.0,9292248.0
822,4.0,164.0,4.0,"Бишкек,Военторг,МанасчыСагынбая168",320000.0,27494400.0
823,4.0,164.0,4.0,"Бишкек,5м-н,Каралаева(Набережная)",320000.0,27494400.0
824,3.0,122.0,4.0,"Бишкек,Ипподром,Л.Толстого126",131760.0,11320819.0
825,2.0,80.0,5.0,"Бишкек,АзияМолл",127000.0,10911840.0
826,3.0,87.0,2.0,"Бишкек,VEFA,Кулатова/Элебаева",140000.0,12028800.0
827,2.0,49.0,3.0,"Бишкек,Военторг,МанасчыСагынбая168",79000.0,6787680.0
828,2.0,44.0,8.0,"Бишкек,Ипподром,Л.Толстого126",77000.0,6615840.0
829,4.0,157.0,10.0,"Бишкек,Магистраль,просп.Айтматова/ул.Масалиева",164693.0,14150423.0
830,2.0,65.0,12.0,"Бишкек,VEFA,Кулатова/Элебаева",72000.0,6186240.0
831,3.0,144.0,8.0,"Бишкек,Военторг,МанасчыСагынбая168",115200.0,9897984.0
832,2.0,78.0,8.0,"Бишкек,Ипподром,Л.Толстого126",111000.0,9537120.0
833,2.0,103.0,10.0,"Бишкек,Магистраль,просп.Айтматова/ул.Масалиева",113300.0,9734736.0
834,2.0,68.0,13.0,"Бишкек,5м-н,Каралаева(Набережная)",74120.0,6368390.0
835,3.0,126.0,9.0,"Бишкек,9м-н",207900.0,17862768.0
836,1.0,45.0,15.0,"Бишкек,Ипподром,Л.Толстого126",50500.0,4338960.0
837,1.0,47.0,8.0,"Бишкек,Центральнаямечеть",61500.0,5284080.0
838,3.0,152.0,3.0,"Бишкек,Джальскаябольница,Ахунбаева/Тыналиева",243200.0,20895744.0
839,2.0,57.0,9.0,"Бишкек,БГУ",117000.0,10052640.0
841,2.0,78.0,1.0,"Бишкек,Старыйаэропорт",140000.0,12028800.0
842,4.0,181.0,9.0,"Бишкек,Магистраль,БайтикБаатыра/Токомбаева",217200.0,18661824.0
843,2.0,103.0,8.0,"Бишкек,АкадемияНаук,Турусбекова88/2/Пушкина",103000.0,8849760.0
844,3.0,107.0,8.0,"Бишкек,МахатмаГанди-БЧК,ВАСИЛЬЕВА/МГАНДИ",112350.0,9653112.0
845,2.0,68.0,6.0,"Бишкек,Магистраль,Токомбаева",88000.0,7560960.0
846,2.0,73.0,4.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",69000.0,5928480.0
847,2.0,50.0,5.0,"Бишкек,Кок-Жарж/м,ул.7Апреля/Молдокулова",62000.0,5327040.0
848,2.0,56.29,4.0,"Бишкек,Пишпекж/м,Репина/М.Алыбаева",69500.0,5971440.0
849,1.0,37.0,8.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",53000.0,4553760.0
850,3.0,70.0,5.0,"Бишкек,Магистраль,ул.Куттубаева,15",93000.0,7990560.0
851,2.0,70.0,4.0,"Бишкек,12м-н,12микрорайон(заМечетью)",93000.0,7990560.0
852,2.0,50.0,5.0,"Бишкек,Джальскаябольница,Ахунбаева-Тыналиева",79000.0,6787680.0
853,3.0,105.0,10.0,"Бишкек,Душанбинка,Жаманбаева8/2/Душанбинская",175000.0,15036000.0
854,3.0,100.0,10.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",127000.0,10911840.0
855,2.0,50.0,5.0,"Бишкек,СкверТоголокМолдо,Чуйкова134",69000.0,5928480.0
856,2.0,72.0,2.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",95000.0,8162400.0
857,2.0,72.0,2.0,"Бишкек,Магистраль,ул.Куттубаева,15",95000.0,8162400.0
858,2.0,46.0,5.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",64000.0,5498880.0
859,4.0,145.0,5.0,"Бишкек,Джал15м-н",220000.0,18902400.0
860,2.0,72.0,2.0,"Бишкек,7м-н,ЖукееваПудовкина",95000.0,8162400.0
861,2.0,72.0,2.0,"Бишкек,Магистраль,БайтикБаатыра1А/Юж.Магистраль",95000.0,8162400.0
862,2.0,46.0,5.0,"Бишкек,Магистраль,БайтикБаатыра1А/Юж.Магистраль",64000.0,5498880.0
863,4.0,145.0,5.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",220000.0,18902400.0
864,3.0,100.0,8.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",150000.0,12888000.0
865,2.0,98.0,6.0,"Бишкек,Аламединскийрынок",98600.0,8471712.0
866,4.0,158.0,8.0,"Бишкек,Тунгучм-н",237000.0,20363040.0
867,2.0,65.53,5.0,"Бишкек,Филармония,токтогула/уметалиева",79000.0,6787680.0
868,2.0,66.0,3.0,"Бишкек,ТЭЦ",83000.0,7131360.0
869,2.0,80.0,5.0,"Бишкек,АУЦА,Куттубаева/Токомбаева",135000.0,11599200.0
870,3.0,90.0,8.0,"Бишкек,ПаркАтатюрк",118000.0,10138560.0
871,4.0,140.0,10.0,"Бишкек,Алматинка-Магистраль,12мкр,ул.А.Токомбаева/СаякбайКаралаев",250000.0,21480000.0
872,3.0,115.0,10.0,"Бишкек,ВерхнийДжалм-н",85100.0,7311792.0
873,2.0,86.0,10.0,"Бишкек,11м-н",102000.0,8763840.0
874,3.0,124.0,8.0,"Бишкек,Баха,Джал,ул.Курчатова81",189000.0,16238880.0
875,1.0,52.0,13.0,"Бишкек,СкверТоголокМолдо,Т.МОЛДО/МОСКОВСКАЯ",39000.0,3350880.0
876,3.0,108.0,10.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",150000.0,12888000.0
877,4.0,110.0,11.0,"Бишкек,ТашРабат",121000.0,10396320.0
878,3.0,84.0,3.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",94500.0,8119440.0
879,1.0,47.5,7.0,"Бишкек,РабочийГородок,ТОЛСТОГО",72000.0,6186240.0
880,4.0,123.0,7.0,"Бишкек,8м-н,Жукеева-Пудовкина87/2",280000.0,24057600.0
881,4.0,122.0,11.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",185000.0,15895200.0
882,3.0,91.0,4.0,"Бишкек,Магистраль",119500.0,10267440.0
883,2.0,67.0,3.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",74800.0,6426816.0
884,3.0,80.0,8.0,"Бишкек,9м-н",88000.0,7560960.0
885,1.0,45.0,9.0,"Бишкек,АкадемияНаук",42500.0,3651600.0
886,1.0,48.0,2.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",77500.0,6658800.0
887,1.0,48.0,3.0,"Бишкек,Шлагбаум,Джунусалиева/АжыбекБаатыра",77500.0,6658800.0
888,1.0,18.0,4.0,"Бишкек,Аламедин-1м-н",24800.0,2130816.0
889,4.0,126.0,2.0,"Бишкек,Городокэнергетиков",150000.0,12888000.0
890,3.0,96.0,13.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",75000.0,6444000.0
891,2.0,79.0,12.0,"Бишкек,Магистраль,пр.Ч.Айтматова",96500.0,8291280.0
892,3.0,103.0,14.0,"Бишкек,Джальскаябольница,Ахунбаева186",97850.0,8407272.0
893,1.0,50.0,8.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",64950.0,5580504.0
894,4.0,157.0,10.0,"Бишкек,Магистраль",164693.0,14150423.0
895,2.0,88.0,12.0,"Бишкек,Городокэнергетиков,Салиева/Ауэзова",77440.0,6653645.0
896,1.0,51.0,12.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",61200.0,5258304.0
897,2.0,84.0,3.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",91500.0,7861680.0
898,2.0,62.0,12.0,"Бишкек,Военторг,ТоголокМолдо5",56000.0,4811520.0
899,4.0,188.0,4.0,"Бишкек,Матросова,Суванбердиева110",98000.0,8420160.0
900,4.0,157.0,10.0,"Бишкек,VEFA,Кулатова14/Элебаева",157342.0,13518825.0
901,2.0,48.0,2.0,"Бишкек,СреднийДжалм-н",88000.0,7560960.0
902,3.0,72.0,3.0,"Бишкек,Горького-Алма-Атинская,Горького-7-апреля",88000.0,7560960.0
903,3.0,62.0,9.0,"Бишкек,Арча-Бешикж/м,ул.Баха/ЮжнаяМагистраль",80000.0,6873600.0
904,3.0,130.0,11.0,"Бишкек,СреднийДжалм-н",214500.0,18429840.0
905,1.0,32.0,1.0,"Бишкек,ДенСяопина-Фучика,Фучика38/2/Рыскулова",52000.0,4467840.0
906,2.0,64.0,8.0,"Бишкек,ПаркПанфилова/Спартак,Фрунзе",74500.0,6401040.0
